Symbol,Exchange,Name,Last_Price,Market_Cap,IPO_Year,Sector,Industry
A,NYSE,"Agilent Technologies, Inc.",81.68,25934696179.92,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,NYSE,Alcoa Corporation,29.15,5407809589.6,2016,Basic Industries,Aluminum
AABA,NASDAQ,Altaba Inc.,75.39,42781131315.3,1969,Technology,EDP Services
AAC,NYSE,"AAC Holdings, Inc.",2.16,53141086.8,2014,Health Care,Medical Specialities
AAL,NASDAQ,"American Airlines Group, Inc.",34.02,15276869742.96,1969,Transportation,Air Freight/Delivery Services
AAMC,AMEX,Altisource Asset Management Corp,29.9,47381573.2,1969,Finance,Real Estate
AAME,NASDAQ,Atlantic American Corporation,2.48,49983983.36,1969,Finance,Life Insurance
AAN,NYSE,"Aaron&#39;s,  Inc.",53.54,3628837653.64,1969,Technology,Diversified Commercial Services
AAOI,NASDAQ,"Applied Optoelectronics, Inc.",12.3,244556139.9,2013,Technology,Semiconductors
AAON,NASDAQ,"AAON, Inc.",44.88,2336955141.84,1969,Capital Goods,Industrial Machinery/Components
AAP,NYSE,Advance Auto Parts Inc,178.8,12814619959.2,1969,Consumer Services,Other Specialty Stores
AAPL,NASDAQ,Apple Inc.,200.62,945979473600.0,1980,Technology,Computer Manufacturing
AAT,NYSE,"American Assets Trust, Inc.",46.08,2180759362.56,2011,Consumer Services,Real Estate Investment Trusts
AAU,AMEX,"Almaden Minerals, Ltd.",0.575,64242863.425,2015,Basic Industries,Precious Metals
AAWW,NASDAQ,Atlas Air Worldwide Holdings,49.49,1274317416.12,1969,Transportation,Transportation Services
AAXJ,NASDAQ,iShares MSCI All Country Asia ex Japan Index Fund,73.14,4578564000.0,1969,,
AAXN,NASDAQ,"Axon Enterprise, Inc.",60.12,3553650274.32,1969,Capital Goods,Ordnance And Accessories
AB,NYSE,AllianceBernstein Holding L.P.,29.36,2834951042.08,1969,Finance,Investment Managers
ABB,NYSE,ABB Ltd,19.44,41445349172.64,1969,Consumer Durables,Electrical Products
ABBV,NYSE,AbbVie Inc.,82.95,122613763441.05,2012,Health Care,Major Pharmaceuticals
ABC,NYSE,AmerisourceBergen Corporation (Holding Co),74.0,15620652082.0,1969,Health Care,Other Pharmaceuticals
ABCB,NASDAQ,Ameris Bancorp,35.09,1669768492.81,1994,Finance,Major Banks
ABDC,NASDAQ,Alcentra Capital Corp.,7.81,100558170.46,1969,,
ABEO,NASDAQ,Abeona Therapeutics Inc.,7.54,361540692.76,1969,Health Care,Major Pharmaceuticals
ABEOW,NASDAQ,Abeona Therapeutics Inc.,3.07,,1969,Health Care,Major Pharmaceuticals
ABEV,NYSE,Ambev S.A.,4.54,71397713602.9,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,NYSE,Asbury Automotive Group Inc,72.64,1416417820.16,2002,Consumer Durables,Automotive Aftermarket
ABIL,NASDAQ,Ability Inc.,1.7,6229950.9,2014,Capital Goods,Telecommunications Equipment
ABIO,NASDAQ,"ARCA biopharma, Inc.",5.92,108662257.12,1969,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,NYSE,ABM Industries Incorporated,37.01,2451503761.56,1969,Finance,Diversified Commercial Services
ABMD,NASDAQ,"ABIOMED, Inc.",280.54,12648372015.24,1969,Health Care,Medical/Dental Instruments
ABR,NYSE,Arbor Realty Trust,13.52,1162125052.4,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,NYSE,Arbor Realty Trust,25.62,,1969,,
ABR^B,NYSE,Arbor Realty Trust,25.48,,1969,,
ABR^C,NYSE,Arbor Realty Trust,26.27,,1969,,
ABT,NYSE,Abbott Laboratories,78.97,138708457142.93,1969,Health Care,Major Pharmaceuticals
ABTX,NASDAQ,"Allegiance Bancshares, Inc.",35.85,776939586.75,2015,Finance,Major Banks
ABUS,NASDAQ,Arbutus Biopharma Corporation,3.91,223983833.88,1969,Health Care,Major Pharmaceuticals
AC,NYSE,"Associated Capital Group, Inc.",40.36,911536896.16,2015,Finance,Investment Bankers/Brokers/Service
ACA,NYSE,"Arcosa, Inc.",30.87,1501065696.69,2018,Capital Goods,Industrial Machinery/Components
ACAD,NASDAQ,ACADIA Pharmaceuticals Inc.,26.78,3853170163.18,1985,Health Care,Major Pharmaceuticals
ACAMU,NASDAQ,Acamar Partners Acquisition Corp.,10.01,,2019,Finance,Business Services
ACB,NYSE,Aurora Cannabis Inc.,9.1,9219522939.9,1969,Consumer Durables,Specialty Chemicals
ACBI,NASDAQ,"Atlantic Capital Bancshares, Inc.",18.2,451760309.0,1969,Finance,Major Banks
ACC,NYSE,American Campus Communities Inc,48.09,6598577594.28,2004,Consumer Services,Real Estate Investment Trusts
ACCO,NYSE,Acco Brands Corporation,8.72,894856776.8,1969,Consumer Durables,Publishing
ACER,NASDAQ,Acer Therapeutics Inc.,24.38,245929909.94,1969,Health Care,Major Pharmaceuticals
ACGL,NASDAQ,Arch Capital Group Ltd.,32.34,13049795146.08,1969,Finance,Property-Casualty Insurers
ACGLO,NASDAQ,Arch Capital Group Ltd.,24.6,,1969,Finance,Property-Casualty Insurers
ACGLP,NASDAQ,Arch Capital Group Ltd.,23.53,,1969,Finance,Property-Casualty Insurers
ACH,NYSE,Aluminum Corporation of China Limited,10.83,7374221921.94,2001,Basic Industries,Aluminum
ACHC,NASDAQ,"Acadia Healthcare Company, Inc.",29.91,2645430268.68,1969,Health Care,Medical Specialities
ACHN,NASDAQ,"Achillion Pharmaceuticals, Inc.",3.19,442503003.25,2006,Health Care,Major Pharmaceuticals
ACHV,NASDAQ,"Achieve Life Sciences, Inc. ",3.63,24397956.0,1969,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,NASDAQ,"Acacia Communications, Inc.",59.52,2410606128.0,2016,Technology,Semiconductors
ACIU,NASDAQ,AC Immune SA,4.83,326326068.39,2016,Health Care,Major Pharmaceuticals
ACIW,NASDAQ,"ACI Worldwide, Inc.",34.32,3986039360.16,1969,Technology,Computer Software: Prepackaged Software
ACLS,NASDAQ,"Axcelis Technologies, Inc.",20.92,686735254.36,2000,Technology,Industrial Machinery/Components
ACM,NYSE,AECOM,31.15,4862354110.25,2007,Consumer Services,Military/Government/Technical
ACMR,NASDAQ,"ACM Research, Inc.",15.35,246752984.55,2017,Technology,Industrial Machinery/Components
ACN,NYSE,Accenture plc,177.0,112896366306.0,2001,Miscellaneous,Business Services
ACNB,NASDAQ,ACNB Corporation,38.11,268663381.02,1969,Finance,Major Banks
ACOR,NASDAQ,"Acorda Therapeutics, Inc.",12.79,609231275.53,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,NYSE,Aberdeen Income Credit Strategies Fund,12.37,161726270.64,2011,,
ACRE,NYSE,Ares Commercial Real Estate Corporation,15.42,443412354.3,2012,Consumer Services,Real Estate Investment Trusts
ACRS,NASDAQ,"Aclaris Therapeutics, Inc.",6.25,257935268.75,2015,Health Care,Major Pharmaceuticals
ACRX,NASDAQ,"AcelRx Pharmaceuticals, Inc.",3.33,262263906.9,2011,Health Care,Major Pharmaceuticals
ACST,NASDAQ,"Acasti Pharma, Inc.",0.95,74226097.3,1969,Health Care,Major Pharmaceuticals
ACT,NASDAQ,AdvisorShares Vice ETF,25.27,13898500.0,1969,,
ACTG,NASDAQ,Acacia Research Corporation,3.2,158872617.6,1969,Miscellaneous,Multi-Sector Companies
ACU,AMEX,Acme United Corporation.,17.99,60281485.67,1988,Capital Goods,Industrial Machinery/Components
ACV,NYSE,AllianzGI Diversified Income & Convertible Fund,22.86,235856655.54,2015,,
ACWI,NASDAQ,iShares MSCI ACWI Index Fund,73.74,10662804000.0,1969,,
ACWX,NASDAQ,iShares MSCI ACWI ex US Index Fund,47.37,3751704000.0,1969,,
ACY,AMEX,AeroCentury Corp.,11.58,17901336.72,1969,Technology,Diversified Commercial Services
ADAP,NASDAQ,Adaptimmune Therapeutics plc,4.56,366034829.76,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,NASDAQ,Adobe Inc.,271.58,132517717099.94,1986,Technology,Computer Software: Prepackaged Software
ADC,NYSE,Agree Realty Corporation,68.89,2588660516.36,1969,Consumer Services,Real Estate Investment Trusts
ADES,NASDAQ,"Advanced Emissions Solutions, Inc.",12.52,231796256.56,1969,Basic Industries,Major Chemicals
ADI,NASDAQ,"Analog Devices, Inc.",112.07,41276985169.98,1969,Technology,Semiconductors
ADIL,NASDAQ,"Adial Pharmaceuticals, Inc",2.96,30025724.96,2018,Health Care,Major Pharmaceuticals
ADILW,NASDAQ,"Adial Pharmaceuticals, Inc",0.3705,,2018,Health Care,Major Pharmaceuticals
ADM,NYSE,Archer-Daniels-Midland Company,43.24,24218316808.92,1969,Consumer Non-Durables,Packaged Foods
ADMA,NASDAQ,ADMA Biologics Inc,5.24,242890076.32,1969,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,NASDAQ,Adamis Pharmaceuticals Corporation,1.92,90799407.36,1969,Health Care,Major Pharmaceuticals
ADMS,NASDAQ,"Adamas Pharmaceuticals, Inc.",6.73,184731702.7,2014,Health Care,Major Pharmaceuticals
ADNT,NYSE,Adient plc,18.15,1697612134.35,2016,Capital Goods,Auto Parts:O.E.M.
ADOM,NASDAQ,"ADOMANI, Inc.",0.3426,24952769.7762,2017,Capital Goods,Auto Parts:O.E.M.
ADP,NASDAQ,"Automatic Data Processing, Inc.",160.42,69883709415.52,1969,Technology,EDP Services
ADRA,NASDAQ,Invesco BLDRS Asia 50 ADR Index Fund,32.1,19260000.0,1969,,
ADRD,NASDAQ,Invesco BLDRS Developed Markets 100 ADR Index Fund,21.8299,37110830.0,1969,,
ADRE,NASDAQ,Invesco BLDRS Emerging Markets 50 ADR Index Fund,42.276,141624600.0,1969,,
ADRO,NASDAQ,"Aduro Biotech, Inc.",3.89,310624455.05,2015,Health Care,Major Pharmaceuticals
ADRU,NASDAQ,Invesco BLDRS Europe Select ADR Index Fund,21.4328,11788040.0,1969,,
ADS,NYSE,Alliance Data Systems Corporation,176.47,9352501471.95,2001,Miscellaneous,Business Services
ADSK,NASDAQ,"Autodesk, Inc.",170.46,37421972919.36,1969,Technology,Computer Software: Prepackaged Software
ADSW,NYSE,"Advanced Disposal Services, Inc.",27.7,2459415079.6,2016,Public Utilities,Environmental Services
ADT,NYSE,ADT Inc.,6.67,5046564521.25,2018,Consumer Services,Diversified Commercial Services
ADTN,NASDAQ,"ADTRAN, Inc.",14.29,682733944.47,1994,Public Utilities,Telecommunications Equipment
ADUS,NASDAQ,Addus HomeCare Corporation,65.57,864055100.86,2009,Health Care,Medical/Nursing Services
ADVM,NASDAQ,"Adverum Biotechnologies, Inc.",5.42,342549468.78,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADX,NYSE,"Adams Diversified Equity Fund, Inc.",14.755,1488313950.24,1969,,
ADXS,NASDAQ,"Advaxis, Inc.",3.82,1402306.72,1969,Health Care,Major Pharmaceuticals
AE,AMEX,"Adams Resources & Energy, Inc.",37.0,156051052.0,1969,Energy,Oil Refining/Marketing
AEB,NYSE,Aegon NV,21.78,,1969,Finance,Life Insurance
AED,NYSE,Aegon NV,25.75,,1969,Finance,Life Insurance
AEE,NYSE,Ameren Corporation,71.5,17547452851.5,1969,Public Utilities,Power Generation
AEF,AMEX,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.5801,453154667.6349,1969,,
AEG,NYSE,Aegon NV,4.95,10134458314.2,1969,Finance,Life Insurance
AEGN,NASDAQ,Aegion Corp,18.81,597292250.94,1969,Basic Industries,Water Supply
AEH,NYSE,Aegon NV,25.89,,1969,Finance,Life Insurance
AEHR,NASDAQ,Aehr Test Systems,1.82,40687612.42,1997,Capital Goods,Electrical Products
AEIS,NASDAQ,"Advanced Energy Industries, Inc.",53.71,2051934476.76,1995,Capital Goods,Industrial Machinery/Components
AEL,NYSE,American Equity Investment Life Holding Company,28.32,2563030545.12,2003,Finance,Life Insurance
AEM,NYSE,Agnico Eagle Mines Limited,43.07,10129948098.63,1969,Basic Industries,Precious Metals
AEMD,NASDAQ,"Aethlon Medical, Inc.",0.83,15737219.15,1969,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEO,NYSE,"American Eagle Outfitters, Inc.",22.06,3807215150.94,1969,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,NYSE,"American Electric Power Company, Inc.",83.35,42457452959.3,1969,Public Utilities,Electric Utilities: Central
AEP^B,NYSE,"American Electric Power Company, Inc.",50.99,,1969,,
AER,NYSE,Aercap Holdings N.V.,47.4,6762779073.6,2006,Technology,Diversified Commercial Services
AERI,NASDAQ,"Aerie Pharmaceuticals, Inc.",44.85,2059113956.25,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,NYSE,The AES Corporation,18.06,11963018064.06,1969,Basic Industries,Electric Utilities: Central
AETI,NASDAQ,"American Electric Technologies, Inc.",0.8741,7927501.352999999,1969,Energy,Industrial Machinery/Components
AEY,NASDAQ,"ADDvantage Technologies Group, Inc.",1.35,13987744.2,1969,Consumer Services,Office Equipment/Supplies/Services
AEYE,NASDAQ,"AudioEye, Inc.",10.01,76308502.27,1969,Technology,Computer Software: Prepackaged Software
AEZS,NASDAQ,AEterna Zentaris Inc.,5.18,85163136.8,1969,Health Care,Major Pharmaceuticals
AFB,NYSE,Alliance National Municipal Income Fund Inc,12.99,373396718.64,2002,,
AFC,NYSE,Ares Capital Corporation,25.8,206400000.0,1969,,
AFG,NYSE,"American Financial Group, Inc.",96.82,8678578142.66,1969,Finance,Property-Casualty Insurers
AFGB,NYSE,"American Financial Group, Inc.",26.09,,2019,Finance,Property-Casualty Insurers
AFGE,NYSE,"American Financial Group, Inc.",25.62,,2014,Finance,Property-Casualty Insurers
AFGH,NYSE,"American Financial Group, Inc.",26.39,,2015,Finance,Property-Casualty Insurers
AFH,NASDAQ,"Atlas Financial Holdings, Inc.",1.88,22441503.6,2013,Finance,Property-Casualty Insurers
AFHBL,NASDAQ,"Atlas Financial Holdings, Inc.",14.8,,1969,Finance,Property-Casualty Insurers
AFI,NYSE,"Armstrong Flooring, Inc.",14.72,380303712.0,2016,Consumer Non-Durables,Plastic Products
AFIN,NASDAQ,"American Finance Trust, Inc.",10.46,1109547753.06,1969,Consumer Services,Real Estate Investment Trusts
AFINP,NASDAQ,"American Finance Trust, Inc.",25.7,30840000.0,1969,Consumer Services,Real Estate Investment Trusts
AFL,NYSE,Aflac Incorporated,49.21,36850900281.93,1969,Finance,Accident &Health Insurance
AFMD,NASDAQ,Affimed N.V.,4.19,261582144.14,2014,Health Care,Major Pharmaceuticals
AFT,NYSE,Apollo Senior Floating Rate Fund Inc.,15.22,237021988.42,2011,,
AG,NYSE,First Majestic Silver Corp.,6.48,1274136778.08,1969,Basic Industries,Precious Metals
AGCO,NYSE,AGCO Corporation,70.19,5384508702.89,1969,Capital Goods,Industrial Machinery/Components
AGD,NYSE,Aberdeen Global Dynamic Dividend Fund,9.65,121103466.3,2006,,
AGE,AMEX,"AgeX Therapeutics, Inc.",4.76,179118800.0,2018,Health Care,Major Pharmaceuticals
AGEN,NASDAQ,Agenus Inc.,2.75,369064778.5,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,NASDAQ,"AgroFresh Solutions, Inc.",3.33,170053349.76,2014,Finance,Business Services
AGFSW,NASDAQ,"AgroFresh Solutions, Inc.",0.06,,2014,Finance,Business Services
AGI,NYSE,Alamos Gold Inc.,5.12,1992060958.72,2015,Basic Industries,Precious Metals
AGIO,NASDAQ,"Agios Pharmaceuticals, Inc.",64.03,3739058678.57,2013,Health Care,Major Pharmaceuticals
AGLE,NASDAQ,"Aeglea BioTherapeutics, Inc.",7.4,213267260.0,2016,Health Care,Major Pharmaceuticals
AGM,NYSE,Federal Agricultural Mortgage Corporation,75.73,807939969.43,1969,Finance,Finance Companies
AGM.A,NYSE,Federal Agricultural Mortgage Corporation,0.0,0.0,1969,,
AGMH,NASDAQ,AGM Group Holdings Inc.,19.95,662660297.25,2018,Technology,EDP Services
AGM^A,NYSE,Federal Agricultural Mortgage Corporation,26.5511,,1969,,
AGM^B,NYSE,Federal Agricultural Mortgage Corporation,25.91,,1969,,
AGM^C,NYSE,Federal Agricultural Mortgage Corporation,26.5,,1969,,
AGN,NYSE,Allergan plc.,146.1,48244899620.1,2013,Health Care,Major Pharmaceuticals
AGNC,NASDAQ,AGNC Investment Corp.,18.09,9702374174.28,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,NASDAQ,AGNC Investment Corp.,25.22,176540.0,1969,Consumer Services,Real Estate Investment Trusts
AGNCM,NASDAQ,AGNC Investment Corp.,25.14,,1969,Consumer Services,Real Estate Investment Trusts
AGNCN,NASDAQ,AGNC Investment Corp.,25.72,334360.0,1969,Consumer Services,Real Estate Investment Trusts
AGND,NASDAQ,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,42.6298,25577880.0,1969,,
AGO,NYSE,Assured Guaranty Ltd.,45.56,4679008218.52,2004,Finance,Property-Casualty Insurers
AGO^B,NYSE,Assured Guaranty Ltd.,26.7099,,1969,,
AGO^E,NYSE,Assured Guaranty Ltd.,26.012,,1969,,
AGO^F,NYSE,Assured Guaranty Ltd.,25.5,,1969,,
AGR,NYSE,"Avangrid, Inc.",50.9,15728368344.8,2015,Public Utilities,Electric Utilities: Central
AGRO,NYSE,Adecoagro S.A.,7.08,825215658.72,2011,Consumer Non-Durables,Farming/Seeds/Milling
AGRX,NASDAQ,"Agile Therapeutics, Inc.",1.48,63957286.84,2014,Health Care,Major Pharmaceuticals
AGS,NYSE,"PlayAGS, Inc.",24.66,871938735.84,2018,Consumer Durables,Miscellaneous manufacturing industries
AGTC,NASDAQ,Applied Genetic Technologies Corporation,4.52,82106044.08,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,NYSE,"Argan, Inc.",50.59,787722674.21,1969,Basic Industries,Engineering & Construction
AGYS,NASDAQ,"Agilysys, Inc.",19.83,466701370.11,1969,Technology,EDP Services
AGZD,NASDAQ,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.845,81336500.0,1969,,
AHC,NYSE,A.H. Belo Corporation,3.91,74601044.41,1969,Consumer Services,Newspapers/Magazines
AHH,NYSE,"Armada Hoffler Properties, Inc.",15.72,791270004.24,2013,Finance,Real Estate
AHL^C,NYSE,Aspen Insurance Holdings Limited,26.12,,1969,,
AHL^D,NYSE,Aspen Insurance Holdings Limited,24.66,,1969,,
AHPI,NASDAQ,"Allied Healthcare Products, Inc.",1.79,7184231.23,1992,Health Care,Industrial Specialties
AHT,NYSE,Ashford Hospitality Trust Inc,5.21,532793283.06,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,NYSE,Ashford Hospitality Trust Inc,25.4,,1969,,
AHT^F,NYSE,Ashford Hospitality Trust Inc,23.2058,,1969,,
AHT^G,NYSE,Ashford Hospitality Trust Inc,22.765,,1969,,
AHT^H,NYSE,Ashford Hospitality Trust Inc,23.2612,,1969,,
AHT^I,NYSE,Ashford Hospitality Trust Inc,23.07,,1969,,
AI,NYSE,Arlington Asset Investment Corp,7.89,288557948.13,1969,Consumer Services,Real Estate Investment Trusts
AIA,NASDAQ,iShares Asia 50 ETF,63.8,1138830000.0,1969,,
AIC,NYSE,Arlington Asset Investment Corp,23.9,,2015,Consumer Services,Real Estate Investment Trusts
AIF,NYSE,Apollo Tactical Income Fund Inc.,14.93,215947908.18,2013,,
AIG,NYSE,"American International Group, Inc.",44.88,39033773716.08,1969,Finance,Property-Casualty Insurers
AIG.WS,NYSE,"American International Group, Inc.",0.0,0.0,1969,,
AIG^A,NYSE,"American International Group, Inc.",25.8,,1969,,
AIHS,NASDAQ,Senmiao Technology Limited,4.63,119821622.0,2018,Finance,Finance: Consumer Services
AIMC,NASDAQ,Altra Industrial Motion Corp.,31.79,2050284351.28,2006,Capital Goods,Industrial Machinery/Components
AIMT,NASDAQ,"Aimmune Therapeutics, Inc.",22.29,1386130264.26,2015,Health Care,Major Pharmaceuticals
AIN,NYSE,Albany International Corporation,72.29,2100731640.78,1969,Basic Industries,Textiles
AINC,AMEX,Ashford Inc.,56.5,139524320.5,2014,Consumer Services,Professional Services
AINV,NASDAQ,Apollo Investment Corporation,15.23,1053730254.92,2004,,
AIPT,NASDAQ,Precision Therapeutics Inc.,0.7061,11489190.3496,1969,Health Care,Industrial Specialties
AIQ,NASDAQ,Global X Future Analytics Tech ETF,16.24,41407663.92,1969,,
AIR,NYSE,AAR Corp.,33.65,1179990046.85,1969,Capital Goods,Aerospace
AIRG,NASDAQ,"Airgain, Inc.",14.69,147330137.89,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,AMEX,Air Industries Group,1.13,32380796.36,1969,Capital Goods,Military/Government/Technical
AIRR,NASDAQ,First Trust RBA American Industrial Renaissance ETF,25.3501,81120370.7002,1969,,
AIRT,NASDAQ,"Air T, Inc.",28.38,57450513.78,1969,Transportation,Air Freight/Delivery Services
AIT,NYSE,"Applied Industrial Technologies, Inc.",60.54,2346513690.96,1969,Consumer Durables,Industrial Specialties
AIV,NYSE,Apartment Investment and Management Company,50.82,7560277498.62,1994,Consumer Services,Real Estate Investment Trusts
AIV^A,NYSE,Apartment Investment and Management Company,25.38,,1969,,
AIW,NYSE,Arlington Asset Investment Corp,24.45,,1969,Consumer Services,Real Estate Investment Trusts
AIY,NYSE,Apollo Investment Corporation,25.6831,,2013,,
AIZ,NYSE,"Assurant, Inc.",94.47,5827196127.51,2004,Finance,Accident &Health Insurance
AIZP,NYSE,"Assurant, Inc.",103.05,296268750.0,1969,Finance,Accident &Health Insurance
AI^B,NYSE,Arlington Asset Investment Corp,22.17,,1969,,
AI^C,NYSE,Arlington Asset Investment Corp,23.59,,1969,,
AJG,NYSE,Arthur J. Gallagher & Co.,78.6,14558664013.8,1969,Finance,Specialty Insurers
AJRD,NYSE,"Aerojet Rocketdyne Holdings, Inc. ",32.89,2587377890.24,1969,Capital Goods,Military/Government/Technical
AJX,NYSE,Great Ajax Corp.,13.68,258718307.76,2015,Consumer Services,Real Estate Investment Trusts
AJXA,NYSE,Great Ajax Corp.,25.1,,2017,Consumer Services,Real Estate Investment Trusts
AKAM,NASDAQ,"Akamai Technologies, Inc.",75.09,12304429418.16,1999,Miscellaneous,Business Services
AKAO,NASDAQ,"Achaogen, Inc.",0.5072,32399933.464,2014,Health Care,Major Pharmaceuticals
AKBA,NASDAQ,"Akebia Therapeutics, Inc.",7.7,901841417.4,2014,Health Care,Major Pharmaceuticals
AKCA,NASDAQ,"Akcea Therapeutics, Inc.",31.03,2775111792.61,2017,Health Care,Major Pharmaceuticals
AKER,NASDAQ,Akers Biosciences Inc.,0.895,11172023.66,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKG,AMEX,Asanko Gold Inc.,0.6509,146976223.2526,1969,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AKO.A,NYSE,Embotelladora Andina S.A.,0.0,0.0,1969,,
AKO.B,NYSE,Embotelladora Andina S.A.,0.0,0.0,1969,,
AKP,NYSE,Alliance California Municipal Income Fund Inc,14.74,126095806.32,2002,,
AKR,NYSE,Acadia Realty Trust,27.92,2306850074.4,1969,Consumer Services,Real Estate Investment Trusts
AKRX,NASDAQ,"Akorn, Inc.",3.24,406875678.12,1969,Health Care,Major Pharmaceuticals
AKS,NYSE,AK Steel Holding Corporation,2.77,876174630.87,1969,Basic Industries,Steel/Iron Ore
AKTS,NASDAQ,"Akoustis Technologies, Inc.",6.5,194435819.5,1969,Public Utilities,Telecommunications Equipment
AKTX,NASDAQ,Akari Therapeutics Plc,3.35,50948062.95,1969,Health Care,Major Pharmaceuticals
AL,NYSE,Air Lease Corporation,36.29,4032478353.01,2011,Technology,Diversified Commercial Services
ALAC,NASDAQ,Alberton Acquisition Corporation,9.99,146750602.5,2018,Finance,Business Services
ALACR,NASDAQ,Alberton Acquisition Corporation,0.22,,2018,Finance,Business Services
ALACU,NASDAQ,Alberton Acquisition Corporation,10.17,,2018,Finance,Business Services
ALACW,NASDAQ,Alberton Acquisition Corporation,0.08,,2018,Finance,Business Services
ALB,NYSE,Albemarle Corporation,85.55,9058539514.95,1969,Basic Industries,Major Chemicals
ALBO,NASDAQ,"Albireo Pharma, Inc.",32.84,394934661.0,1969,Health Care,Major Pharmaceuticals
ALC,NYSE,Alcon Inc.,57.3,,2019,Health Care,Ophthalmic Goods
ALCO,NASDAQ,"Alico, Inc.",27.98,208809227.94,1969,Consumer Non-Durables,Farming/Seeds/Milling
ALDR,NASDAQ,"Alder BioPharmaceuticals, Inc.",13.16,901455591.4,2014,Health Care,Major Pharmaceuticals
ALDX,NASDAQ,"Aldeyra Therapeutics, Inc.",8.56,234504838.0,2014,Health Care,Major Pharmaceuticals
ALE,NYSE,"Allete, Inc.",81.12,4187503307.52,1969,Public Utilities,Power Generation
ALEC,NASDAQ,"Alector, Inc.",24.18,1665319930.56,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,NYSE,"Alexander & Baldwin, Inc.",24.04,1733091992.52,1969,Consumer Services,Real Estate Investment Trusts
ALG,NYSE,"Alamo Group, Inc.",98.16,1152405663.84,1969,Capital Goods,Industrial Machinery/Components
ALGN,NASDAQ,"Align Technology, Inc.",290.12,23207902507.88,2001,Health Care,Industrial Specialties
ALGR,NASDAQ,Allegro Merger Corp.,9.93,189265800.0,2018,Finance,Business Services
ALGRR,NASDAQ,Allegro Merger Corp.,0.27,,2018,Finance,Business Services
ALGRU,NASDAQ,Allegro Merger Corp.,10.48,,2018,Finance,Business Services
ALGRW,NASDAQ,Allegro Merger Corp.,0.28,,2018,Finance,Business Services
ALGT,NASDAQ,Allegiant Travel Company,136.75,2226431946.5,2006,Transportation,Air Freight/Delivery Services
ALIM,NASDAQ,"Alimera Sciences, Inc.",1.03,73097688.9,2010,Health Care,Major Pharmaceuticals
ALIT,NASDAQ,Alight Inc.,0.0,0.0,1969,,
ALJJ,NASDAQ,"ALJ Regional Holdings, Inc.",1.57,59701502.95,1969,Miscellaneous,Business Services
ALK,NYSE,"Alaska Air Group, Inc.",58.78,7265950097.5,1969,Transportation,Air Freight/Delivery Services
ALKS,NASDAQ,Alkermes plc,35.82,5619528391.86,1991,Health Care,Major Pharmaceuticals
ALL,NYSE,Allstate Corporation (The),95.0,31627894760.0,1969,Finance,Property-Casualty Insurers
ALLE,NYSE,Allegion plc,93.33,8815796405.55,2013,Consumer Services,Diversified Commercial Services
ALLK,NASDAQ,Allakos Inc.,39.85,1717614660.15,2018,Health Care,Major Pharmaceuticals
ALLO,NASDAQ,"Allogene Therapeutics, Inc.",27.0,3280032117.0,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,NASDAQ,Allot Ltd.,7.85,267189602.2,2006,Technology,Computer Communications Equipment
ALLY,NYSE,Ally Financial Inc.,29.16,11695048255.8,2014,Finance,Major Banks
ALLY^A,NYSE,Ally Financial Inc.,26.59,,1969,,
ALL^A,NYSE,Allstate Corporation (The),25.53,,1969,,
ALL^B,NYSE,Allstate Corporation (The),25.7,,1969,,
ALL^D,NYSE,Allstate Corporation (The),25.59,,1969,,
ALL^E,NYSE,Allstate Corporation (The),25.6,,1969,,
ALL^F,NYSE,Allstate Corporation (The),25.95,,1969,,
ALL^G,NYSE,Allstate Corporation (The),25.69,,1969,,
ALNA,NASDAQ,"Allena Pharmaceuticals, Inc.",6.7,139460593.8,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,NASDAQ,"Alnylam Pharmaceuticals, Inc.",90.89,9662010733.38,2004,Health Care,Major Pharmaceuticals
